Data,UserID,Product,Count,Price
2024-06-05,256,milk,9,5
2024-02-07,644,fish,7,270
2024-05-18,291,apple,6,299
2024-05-18,879,potatoes,9,306
2024-08-18,433,milk,2,434
2024-10-16,915,fish,4,104
2024-10-02,746,bread,7,184
2024-09-07,390,potatoes,1,259
2024-01-07,126,bread,9,229
2024-12-23,853,bread,4,437
2024-11-02,149,milk,5,300
2024-01-05,254,fish,1,106
2024-11-09,239,potatoes,2,408
2024-05-24,908,potatoes,5,349
2024-07-17,582,milk,9,143
2024-05-15,337,apple,9,36
2024-02-26,138,bread,10,152
2024-07-23,320,fish,7,313
2024-03-27,454,fish,3,190
2024-08-12,863,bread,9,70
2024-01-05,885,milk,7,58
2024-02-17,369,potatoes,6,147
2024-04-18,678,milk,11,41
2024-04-15,204,apple,5,417
2024-06-03,651,bread,6,288
2024-02-11,849,potatoes,6,126
2024-07-05,422,potatoes,2,400
2024-11-09,691,milk,1,104
2024-09-03,595,bread,5,378
2024-03-15,895,apple,7,415
2024-06-08,895,fish,3,51
2024-03-14,864,apple,5,199
2024-08-23,655,potatoes,3,246
2024-02-04,330,apple,4,473
2024-08-09,786,bread,9,108
2024-10-19,682,bread,11,170
2024-04-16,396,potatoes,2,61
2024-01-17,118,bread,7,104
2024-09-05,959,milk,5,159
2024-12-05,693,bread,3,185
2024-11-14,720,apple,9,458
2024-03-12,454,fish,4,429
2024-04-06,504,potatoes,9,186
2024-01-04,782,potatoes,9,340
2024-03-14,431,potatoes,1,351
2024-06-15,450,apple,2,34
2024-06-06,571,milk,8,55
2024-07-28,770,potatoes,2,7
2024-10-08,843,milk,11,336
2024-10-01,125,bread,3,248
2024-05-09,616,apple,7,262
2024-05-08,482,apple,11,490
2024-01-25,960,apple,1,384
2024-03-20,127,milk,11,222
2024-10-14,595,potatoes,4,37
2024-05-22,793,fish,8,497
2024-03-10,855,bread,9,257
2024-06-28,769,potatoes,1,369
2024-05-05,992,potatoes,2,242
2024-01-19,116,bread,7,370
2024-04-25,483,bread,5,57
2024-09-26,157,bread,8,29
2024-03-08,813,bread,5,443
2024-04-02,886,fish,5,417
2024-04-08,304,apple,8,390
2024-02-20,837,apple,8,132
2024-11-13,419,apple,6,224
2024-08-22,993,fish,7,299
2024-10-03,574,milk,3,378
2024-07-05,875,milk,7,68
2024-06-01,570,bread,5,44
2024-02-12,415,milk,6,460
2024-08-02,635,milk,8,32
2024-12-03,781,potatoes,6,403
2024-11-28,839,potatoes,5,22
2024-05-11,560,fish,3,394
2024-03-10,749,apple,7,410
2024-01-24,703,fish,9,335
2024-09-09,206,apple,1,340
2024-04-25,508,milk,2,172
2024-01-06,495,bread,11,127
2024-08-13,181,apple,5,478
2024-10-23,532,milk,6,484
2024-08-14,360,fish,4,51
2024-11-14,743,fish,8,167
2024-08-28,355,fish,10,284
2024-12-23,944,potatoes,3,449
2024-02-07,887,bread,8,258
2024-06-24,269,milk,11,286
2024-06-12,367,potatoes,10,31
2024-07-26,514,potatoes,10,104
2024-04-19,224,apple,1,42
2024-08-06,981,bread,3,409
2024-08-01,942,potatoes,4,403
2024-05-10,732,bread,11,266
2024-06-02,386,potatoes,10,79
2024-03-18,114,bread,4,271
2024-11-06,562,potatoes,3,187
2024-07-25,183,bread,9,491
2024-08-03,265,potatoes,11,102
2024-01-10,777,potatoes,9,432
2024-07-13,829,apple,9,427
2024-05-20,377,milk,7,207
2024-04-22,524,potatoes,10,499
2024-08-19,962,bread,9,361
2024-02-13,709,apple,9,95
2024-02-03,884,milk,6,40
2024-07-19,457,milk,8,417
2024-11-20,184,potatoes,6,385
2024-05-23,625,milk,3,7
2024-02-16,670,bread,4,351
2024-09-25,625,bread,5,216
2024-08-28,618,bread,8,491
2024-02-11,531,potatoes,3,494
2024-02-15,547,fish,10,267
2024-03-15,647,fish,2,162
2024-03-21,598,bread,11,133
2024-07-11,253,milk,5,22
2024-12-12,955,milk,11,285
2024-08-05,308,milk,11,180
2024-12-09,761,milk,11,459
2024-10-19,309,potatoes,7,389
2024-11-11,878,fish,7,19
2024-04-19,950,milk,11,397
2024-08-08,995,fish,6,81
2024-07-23,974,apple,1,52
2024-04-18,422,milk,5,31
2024-07-06,561,apple,5,108
2024-06-14,267,milk,8,238
2024-10-25,746,apple,10,156
2024-11-14,150,fish,4,345
2024-02-01,424,fish,2,413
2024-01-07,400,potatoes,4,102
2024-11-10,948,milk,2,77
2024-09-14,330,milk,4,141
2024-10-15,769,fish,7,226
2024-01-21,100,milk,5,126
2024-10-24,855,bread,10,427
2024-06-15,912,bread,2,483
2024-04-02,263,milk,5,238
2024-09-24,700,bread,10,268
2024-09-16,896,milk,2,397
2024-12-08,944,bread,2,326
2024-10-01,959,fish,4,216
2024-06-21,308,apple,7,169
2024-03-09,291,fish,2,399
2024-08-01,281,fish,3,107
2024-10-07,819,bread,7,396
2024-07-19,454,milk,1,469
2024-01-17,594,bread,1,271
2024-02-15,244,bread,7,423
2024-05-13,811,milk,7,393
2024-12-25,442,milk,9,349
2024-03-25,723,fish,2,244
2024-07-20,326,fish,2,338
2024-06-04,507,apple,9,259
2024-07-02,441,apple,2,90
2024-07-20,554,apple,10,426
2024-09-07,205,fish,9,473
2024-05-23,841,fish,2,196
2024-05-04,778,potatoes,4,414
2024-04-17,326,bread,10,495
2024-07-27,326,bread,7,199
2024-08-25,562,fish,2,52
2024-09-14,579,potatoes,4,482
2024-08-06,399,bread,9,483
2024-09-27,885,milk,2,474
2024-04-23,764,potatoes,9,129
2024-08-11,533,potatoes,7,206
2024-05-01,715,potatoes,1,360
2024-10-22,799,bread,6,172
2024-04-01,705,milk,10,8
2024-02-09,264,milk,2,351
2024-11-02,975,apple,2,181
2024-11-17,569,potatoes,2,362
2024-09-11,956,fish,5,284
2024-12-14,348,apple,5,404
2024-10-26,224,milk,4,246
2024-11-19,509,milk,11,444
2024-09-20,692,milk,1,292
2024-11-22,468,apple,3,480
2024-01-02,519,apple,8,155
2024-10-15,283,apple,11,291
2024-06-16,628,potatoes,6,459
