Data,UserID,Product,Count,Price
2024-12-18,577,fish,1,307
2024-08-27,704,potatoes,8,72
2024-04-08,242,apple,5,300
2024-08-28,982,apple,8,390
2024-01-02,657,potatoes,10,487
2024-02-25,594,fish,11,218
2024-03-21,433,potatoes,2,129
2024-02-23,205,bread,11,13
2024-11-04,666,milk,4,49
2024-08-15,145,fish,1,376
2024-08-25,483,fish,6,314
2024-01-23,698,milk,1,324
2024-09-08,454,apple,11,58
2024-08-05,374,fish,9,244
2024-03-12,391,apple,7,145
2024-12-10,948,fish,11,35
2024-08-16,666,apple,7,236
2024-02-02,397,bread,5,365
2024-09-25,709,potatoes,8,76
2024-03-11,196,potatoes,5,173
2024-01-19,596,apple,11,405
2024-04-22,529,bread,4,174
2024-05-22,563,potatoes,5,4
2024-12-28,647,bread,7,296
2024-12-04,533,fish,2,293
2024-04-13,748,potatoes,7,256
2024-08-22,945,potatoes,10,113
2024-09-25,967,apple,5,112
2024-05-20,595,fish,6,458
2024-03-02,170,apple,5,110
2024-07-19,764,bread,2,21
2024-10-23,250,fish,3,485
2024-10-25,541,fish,4,397
2024-06-19,822,milk,1,375
2024-10-03,720,potatoes,11,50
2024-07-12,569,potatoes,2,97
2024-02-18,643,fish,1,417
2024-02-03,999,bread,10,230
2024-05-27,419,apple,9,196
2024-06-15,957,apple,6,387
2024-03-09,855,bread,5,391
2024-01-16,436,apple,9,187
2024-12-25,403,apple,4,404
2024-08-28,880,bread,4,131
2024-03-10,928,bread,10,403
2024-04-13,705,bread,2,358
2024-06-14,231,milk,7,135
2024-03-23,817,apple,4,192
2024-04-01,281,fish,11,104
2024-07-12,562,bread,6,421
2024-06-12,452,potatoes,10,161
2024-08-11,566,potatoes,2,405
2024-12-19,189,apple,5,70
2024-05-19,860,potatoes,9,451
2024-09-10,118,milk,5,485
2024-02-15,529,potatoes,7,422
2024-10-11,710,bread,6,294
2024-01-11,300,fish,6,364
2024-08-04,430,milk,5,86
2024-02-24,824,apple,4,227
2024-03-21,462,fish,5,386
2024-10-04,861,apple,8,296
2024-08-15,941,apple,3,493
2024-10-19,512,bread,11,215
2024-07-03,756,milk,1,485
2024-09-17,866,potatoes,2,198
2024-01-14,474,fish,1,415
2024-09-24,799,milk,2,144
2024-07-21,647,apple,11,403
2024-10-07,217,fish,3,179
2024-04-04,884,bread,1,16
2024-05-05,549,potatoes,3,114
2024-11-16,282,fish,4,125
2024-07-01,298,apple,5,285
2024-05-22,417,apple,2,475
2024-05-13,413,apple,5,21
2024-08-14,595,bread,9,224
2024-08-02,142,potatoes,11,70
2024-01-19,368,milk,4,25
2024-08-07,440,apple,6,178
2024-12-26,871,fish,1,367
2024-10-20,676,apple,4,433
2024-01-03,808,bread,11,429
2024-06-10,193,potatoes,1,10
2024-04-24,322,apple,10,67
2024-08-07,502,apple,8,136
2024-08-04,247,bread,1,489
2024-03-28,353,bread,1,222
2024-03-01,193,milk,2,216
2024-08-12,342,potatoes,2,178
2024-01-08,156,milk,6,192
2024-10-27,350,potatoes,10,87
2024-02-15,579,bread,7,424
2024-10-17,560,bread,7,399
2024-08-16,558,fish,11,105
2024-06-23,878,milk,5,111
2024-09-25,791,fish,3,133
2024-07-21,994,bread,7,359
2024-12-07,808,fish,5,213
2024-11-26,818,fish,1,270
2024-05-15,200,milk,6,322
2024-11-02,789,apple,10,464
2024-03-13,903,fish,9,408
2024-08-22,930,milk,3,279
2024-09-05,713,bread,5,438
2024-09-15,119,bread,7,371
2024-05-10,375,bread,8,370
2024-02-05,642,milk,9,264
2024-03-18,472,bread,10,299
2024-08-11,980,fish,6,425
2024-06-22,196,potatoes,10,140
2024-05-08,381,apple,8,89
2024-03-20,787,fish,2,149
2024-05-12,512,milk,9,418
2024-09-15,838,fish,9,241
2024-07-14,296,bread,4,165
2024-06-01,292,potatoes,11,297
2024-10-04,994,fish,9,432
2024-09-21,769,potatoes,4,434
2024-04-09,576,milk,5,43
2024-12-05,199,bread,11,201
2024-08-15,570,milk,6,491
2024-06-27,725,fish,9,64
2024-03-12,370,bread,4,132
2024-09-18,969,apple,10,140
2024-06-16,605,apple,11,356
2024-07-01,375,apple,4,402
2024-10-20,329,milk,11,452
2024-10-19,703,milk,10,404
2024-11-15,990,apple,4,115
2024-02-17,350,apple,11,267
2024-06-25,155,milk,4,110
2024-07-08,674,milk,7,32
2024-08-26,834,potatoes,6,214
2024-12-17,255,fish,8,24
2024-07-09,564,potatoes,4,323
2024-02-23,666,apple,9,191
2024-10-24,173,fish,2,175
2024-07-19,253,fish,4,454
2024-01-28,999,bread,6,472
2024-11-09,456,potatoes,9,105
2024-02-06,630,milk,3,26
2024-01-10,514,milk,2,260
2024-12-08,742,apple,5,30
2024-09-18,614,fish,3,116
2024-10-16,937,fish,6,107
2024-10-04,188,potatoes,5,66
2024-06-27,799,apple,3,408
2024-11-15,384,fish,10,8
2024-02-07,549,potatoes,3,128
2024-01-26,969,bread,2,415
2024-06-11,913,bread,6,144
2024-07-25,400,fish,10,53
2024-08-12,452,milk,2,221
2024-10-07,233,potatoes,11,295
2024-01-10,403,bread,11,404
2024-02-05,146,bread,7,346
2024-10-03,713,milk,11,210
2024-04-14,715,fish,10,107
2024-04-22,686,apple,10,400
2024-09-04,272,apple,6,8
2024-09-27,831,apple,7,42
2024-08-22,687,apple,10,247
2024-04-02,693,apple,2,297
2024-03-12,243,milk,6,266
2024-12-09,917,potatoes,1,124
2024-07-11,209,milk,10,277
2024-10-12,366,bread,10,3
2024-01-06,922,milk,8,38
2024-02-06,490,milk,9,414
2024-11-13,556,apple,2,142
2024-07-06,845,bread,2,131
2024-02-28,422,apple,10,259
2024-11-28,900,milk,11,438
2024-11-20,951,fish,2,64
2024-05-19,397,bread,4,351
2024-10-14,154,potatoes,11,204
2024-12-27,288,bread,9,14
2024-07-26,384,bread,4,285
2024-04-11,819,fish,9,454
2024-11-03,703,potatoes,6,402
2024-12-20,241,milk,9,297
2024-04-10,191,fish,10,292
2024-01-18,253,fish,10,25
2024-08-04,834,milk,6,267
2024-11-14,454,fish,5,291
2024-05-23,354,potatoes,8,313
2024-12-15,973,bread,7,36
2024-09-19,335,bread,10,427
2024-02-19,453,apple,3,335
2024-10-09,914,apple,10,482
2024-10-01,662,apple,2,8
2024-12-13,234,fish,7,289
2024-09-24,986,fish,1,19
2024-12-24,436,fish,9,438
2024-02-08,858,apple,3,128
2024-05-19,195,bread,10,227
2024-09-26,753,milk,11,59
